#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
       124               -0.76       -0.7541935484      0.008567459532
       125               -0.76            -0.75424      0.008499045782
       126               -0.76       -0.7542857143       0.00843171598
       127               -0.76       -0.7543307087      0.008365444567
       128               -0.76           -0.754375      0.008300206782
       129                -0.6       -0.7531782946      0.008321686107
       130               -0.76       -0.7532307692      0.008257838582
       131                -0.6       -0.7520610687      0.008277229553
       132               -0.68       -0.7515151515      0.008232506322
       133               -0.76       -0.7515789474       0.00817085496
       134               -0.76        -0.751641791      0.008110120098
       135               -0.76       -0.7517037037      0.008050281452
       136               -0.68       -0.7511764706      0.008008334504
       137               -0.68       -0.7506569343      0.007966713999
       138                -0.6       -0.7495652174      0.007983435359
       139               -0.68       -0.7490647482      0.007941671898
       140               -0.68       -0.7485714286      0.007900252791
       141               -0.68       -0.7480851064      0.007859176838
       142               -0.76       -0.7481690141      0.007804278425
       143               -0.84       -0.7488111888      0.007776078828
       144               -0.84       -0.7494444444      0.007747820394
       145               -0.84       -0.7500689655      0.007719516198
       146               -0.76       -0.7501369863      0.007666942478
       147               -0.76       -0.7502040816      0.007615079985
       148               -0.84       -0.7508108108      0.007587758726
       149               -0.84        -0.751409396      0.007560407978
       150               -0.92       -0.7525333333      0.007593088475
       151               -0.92       -0.7536423841      0.007623367162
       152               -0.84       -0.7542105263      0.007594354722
       153               -0.84       -0.7547712418      0.007565389809
       154               -0.68       -0.7542857143      0.007531827751
       155               -0.68       -0.7538064516      0.007498467949
       156               -0.84       -0.7543589744      0.007470729364
       157               -0.76       -0.7543949045      0.007423231502
       158               -0.76       -0.7544303797      0.007376333791
       159                -0.6       -0.7534591195      0.007393609376
       160               -0.68              -0.753      0.007361640442
       161               -0.84       -0.7535403727      0.007335721872
       162               -0.84       -0.7540740741      0.007309828251
       163               -0.92       -0.7550920245      0.007335519019
       164               -0.92        -0.756097561      0.007359385888
       165               -0.92       -0.7570909091      0.007381518719
       166               -0.76       -0.7571084337      0.007337072542
       167               -0.84       -0.7576047904      0.007309908085
       168               -0.92       -0.7585714286      0.007330030619
       169               -0.92       -0.7595266272      0.007348631534
       170               -0.92       -0.7604705882      0.007365782558
       171               -0.92       -0.7614035088      0.007381551371
       172               -0.92       -0.7623255814       0.00739600189
       173               -0.76       -0.7623121387       0.00735326265
       174               -0.76       -0.7622988506      0.007311014526
       175               -0.84       -0.7627428571      0.007282707343
       176               -0.92       -0.7636363636      0.007295934049
       177               -0.92        -0.764519774      0.007308001176
       178               -0.84       -0.7649438202      0.007279237218
       179               -0.76       -0.7649162011      0.007238623485
       180               -0.76       -0.7648888889      0.007198460436
       181               -0.76       -0.7648618785      0.007158740611
       182               -0.76       -0.7648351648      0.007119456714
       183                -0.6       -0.7639344262      0.007137304908
       184               -0.68       -0.7634782609       0.00711307768
       185               -0.76       -0.7634594595       0.00707465346
       186               -0.76       -0.7634408602      0.007036642137
       187               -0.84       -0.7638502674      0.007010913019
       188               -0.84       -0.7642553191      0.006985311954
       189               -0.68       -0.7638095238      0.006962563197
       190               -0.84       -0.7642105263      0.006937456204
       191               -0.76       -0.7641884817      0.006901169469
       192               -0.68            -0.76375      0.006879141745
       193               -0.76       -0.7637305699      0.006843525963
       194               -0.76       -0.7637113402      0.006808277073
       195               -0.76       -0.7636923077      0.006773389434
       196               -0.76       -0.7636734694      0.006738857522
       197               -0.76       -0.7636548223      0.006704675922
       198               -0.84        -0.764040404      0.006681892005
       199               -0.76       -0.7640201005      0.006648345505
       200               -0.84             -0.7644      0.006625948989
       201               -0.76       -0.7643781095      0.006593020229
       202               -0.68        -0.763960396      0.006573600713
       203               -0.84       -0.7643349754       0.00655188196
       204               -0.84       -0.7647058824      0.006530255114
       205               -0.68       -0.7642926829      0.006511459608
       206               -0.68       -0.7638834951      0.006492694772
       207               -0.68       -0.7634782609      0.006473962867
       208               -0.76       -0.7634615385      0.006442859643
       209               -0.76       -0.7634449761      0.006412053851
       210               -0.76       -0.7634285714      0.006381541246
       211               -0.76       -0.7634123223      0.006351317662
       212               -0.76       -0.7633962264      0.006321379012
       213               -0.76       -0.7633802817      0.006291721285
       214                -0.6       -0.7626168224      0.006308471061
       215               -0.76       -0.7626046512      0.006279141077
       216               -0.76       -0.7625925926      0.006250082558
       217               -0.76       -0.7625806452      0.006221291753
       218               -0.84       -0.7629357798      0.006202881645
       219               -0.92        -0.763652968      0.006215880997
