#    DISTANCE:     AVE_GOFR:            ERROR:
         0                   0                   0
0.0646330407                   0                   0
0.1292660814                   0                   0
0.1938991221                   0                   0
0.2585321628                   0                   0
0.3231652035                   0                   0
0.3877982442                   0                   0
0.4524312849                   0                   0
0.5170643256                   0                   0
0.5816973663                   0                   0
0.646330407                   0                   0
0.7109634477                   0                   0
0.7755964884                   0                   0
0.8402295291      0.001676310894     0.0008575486293
0.9048625698        0.1266452264      0.009858940605
0.9694956105        0.9866733496       0.03883653298
1.034128651          1.91582409       0.03896885345
1.098761692         1.992234082       0.05875544377
1.163394733         1.873918224       0.03372553862
1.228027773         1.687537318       0.03167361101
1.292660814          1.59924039       0.03696948803
1.357293855           1.4785915       0.02507571786
1.421926895         1.347715324       0.02949866178
1.486559936         1.160002062       0.03933593435
1.551192977          1.13536312       0.03378887627
1.615826018         1.114730496        0.0245437342
1.680459058         1.094141469       0.02746007131
1.745092099          1.07717816       0.02875744853
1.80972514         1.056769138       0.02970883103
1.87435818         1.051545962       0.02239266456
1.938991221         1.037851854       0.02426216539
2.003624262         1.007350878        0.0267723874
2.068257302         1.023902443       0.02199716177
2.132890343         1.063344859       0.02754243172
2.197523384         1.046835612       0.02200386516
2.262156425         1.026646761       0.01926420146
2.326789465         1.009981167       0.01613613331
2.391422506         1.031107679       0.02203937498
2.456055547         1.005982629       0.02120262514
2.520688587        0.9618016869        0.0175984531
2.585321628        0.9906465309       0.01960253425
2.649954669        0.9892337339       0.01858945739
2.714587709         1.018066932       0.02122210335
2.77922075         1.019050764       0.02033680797
2.843853791         1.020535433       0.02385032886
2.908486832         1.023693142       0.02266898722
2.973119872         1.020969872       0.02075777552
3.037752913         1.004369455       0.01585276409
3.102385954         1.001930294       0.01749021339
3.167018994        0.9844448504       0.01757573644
3.231652035         1.009883734       0.01458871835
3.296285076         0.998308752       0.01754542754
3.360918116        0.9977614093        0.0131673352
3.425551157        0.9973455319       0.01272904164
3.490184198         1.002458405       0.01471676067
3.554817239        0.9933101908       0.01279615332
3.619450279        0.9883518335      0.009017171711
3.68408332        0.9835926324        0.0121213916
3.748716361         1.010144641        0.0123311347
3.813349401         1.004723379       0.01281756967
3.877982442        0.9900545504       0.01630270938
3.942615483        0.9855101132       0.01596599892
4.007248523        0.9854908356       0.01518908445
4.071881564        0.9961792195       0.01387237098
4.136514605        0.9914343523       0.01252397187
4.201147646        0.9910180003      0.009456261331
4.265780686        0.9945101252      0.008223154902
4.330413727        0.9999289186       0.01009392889
4.395046768        0.9898793101       0.01078612126
4.459679808        0.9829531731       0.01100091271
4.524312849        0.9952759613        0.0106854459
4.58894589        0.9780281489      0.008982762389
4.65357893        0.9843282624       0.00951860097
4.718211971        0.9808785191      0.009806244806
4.782845012        0.9873906244         0.010438902
4.847478053        0.9893758627      0.008843335905
4.912111093        0.9819361721       0.01012351243
4.976744134        0.9861886025      0.009798012275
5.041377175         1.009357492      0.006739325017
5.106010215         1.019097779      0.008370691575
5.170643256         0.999754772      0.008914352366
5.235276297         1.000369824      0.008790614892
5.299909337         1.003233554      0.009339565723
5.364542378         1.006312738      0.009355542839
5.429175419         1.006146193      0.008909186766
5.49380846        0.9984303665       0.01013660061
 5.5584415        0.9909823335      0.007011630871
5.623074541        0.9904755562      0.008716244668
5.687707582        0.9923349813      0.008920629109
5.752340622        0.9836061265      0.008746091661
5.816973663        0.9870063839      0.007516383766
5.881606704         0.994981928      0.005945664507
5.946239744         1.000331018      0.007466525251
6.010872785        0.9911914708      0.007042251025
6.075505826        0.9939661918      0.007277354793
6.140138867        0.9989163137      0.006202444881
6.204771907         0.999966509      0.006688435903
6.269404948        0.9915372152      0.007118383121
6.334037989        0.9806909402      0.007463361087
6.398671029        0.9898362778      0.007185476772
